City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Cartagena,CO,10.3997,-75.5144,79.41,84,69,14.76,broken clouds
79,Iqaluit,CA,63.7506,-68.5145,2.7,77,100,28.01,overcast clouds
80,Port-Gentil,GA,-0.7193,8.7815,80.38,81,100,7.29,overcast clouds
81,Qaanaaq,GL,77.484,-69.3632,10.22,90,100,1.52,overcast clouds
82,Sergeyevka,KZ,53.88,67.4158,33.17,83,81,9.28,broken clouds
83,Thompson,CA,55.7435,-97.8558,29.88,93,100,8.32,overcast clouds
84,Georgetown,MY,5.4112,100.3354,82.33,83,20,2.3,few clouds
85,Maldonado,UY,-34.6667,-54.9167,61.23,46,0,6.76,clear sky
86,Narsaq,GL,60.9167,-46.05,32.22,83,24,0.76,few clouds
87,Hobart,AU,-42.8794,147.3294,62.02,48,20,5.75,few clouds
88,Hue,VN,16.4667,107.6,71.71,88,75,8.05,broken clouds
89,Bethel,US,41.3712,-73.414,49.01,69,100,1.01,overcast clouds
90,Thinadhoo,MV,0.5333,72.9333,81.79,73,5,3.22,clear sky
91,New Norfolk,AU,-42.7826,147.0587,61.66,34,0,2.66,clear sky
92,Kodiak,US,57.79,-152.4072,38.19,61,100,8.08,overcast clouds
93,Nizwa,OM,22.9333,57.5333,71.78,35,5,1.86,clear sky
94,Riohacha,CO,11.5444,-72.9072,80.98,71,87,14.61,overcast clouds
95,Kavieng,PG,-2.5744,150.7967,81.36,75,100,14.54,light rain
96,Nemuro,JP,43.3236,145.575,40.55,87,1,22.24,clear sky
97,Port Keats,AU,-14.25,129.55,89.67,60,90,3.6,very heavy rain
98,Sola,VU,-13.8833,167.55,83.28,73,99,14.94,moderate rain
99,Trofors,NO,65.5333,13.4063,12.16,93,100,2.04,overcast clouds
100,Yurla,RU,59.3259,54.3223,19.29,97,64,5.21,broken clouds
101,Portland,US,45.5234,-122.6762,54.54,56,30,3.0,scattered clouds
102,West Wendover,US,40.7391,-114.0733,44.87,27,6,17.38,clear sky
103,Whitehorse,CA,60.7161,-135.0538,37.02,43,75,17.27,broken clouds
104,Yellowknife,CA,62.456,-114.3525,28.92,64,75,9.22,broken clouds
105,Grootfontein,NA,-19.5667,18.1167,64.38,48,30,8.16,scattered clouds
106,Saint-Philippe,RE,-21.3585,55.7679,76.59,89,100,10.25,light rain
107,Rocha,UY,-34.4833,-54.3333,53.22,64,0,7.14,clear sky
108,Pevek,RU,69.7008,170.3133,-3.19,90,100,7.07,overcast clouds
109,Haines Junction,CA,60.7522,-137.5108,31.26,67,2,11.59,clear sky
110,Nelson,NZ,-41.2833,173.2833,71.29,79,100,10.0,overcast clouds
111,Riyadh,SA,24.6877,46.7219,73.38,12,0,5.3,clear sky
112,Taua,BR,-5.9667,-40.3,71.24,82,65,2.48,broken clouds
