City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Bac Lieu,VN,84.18,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
403,Balabac,PH,79.16,light rain,7.9868,117.0645,Batalla’s Lodging House
404,Yanam,IN,81.84,broken clouds,16.7333,82.2167,The Regency Hotel
409,Anloga,GH,82.04,broken clouds,5.7947,0.8973,Pin Drop Hotel
412,Juazeiro,BR,82.58,light rain,-9.4117,-40.4986,JB Hotel
415,Vila Velha,BR,78.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
417,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
419,Felipe Carrillo Puerto,MX,77.05,clear sky,19.5833,-88.05,Hotel La Ceiba
420,Nabire,ID,89.08,few clouds,-3.3667,135.4833,Hotel Nusantara I
421,Piacabucu,BR,77.45,clear sky,-10.4056,-36.4344,Piaçabuçu News
430,Vao,NC,76.06,light rain,-22.6667,167.4833,Hotel Kou-Bugny
433,Ko Samui,TH,82.49,overcast clouds,9.5357,99.9357,The Passage
435,Samarai,PG,83.26,light rain,-10.6167,150.6667,Nuli Sapi
439,Lhokseumawe,ID,78.01,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
444,Salinopolis,BR,76.39,heavy intensity rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
446,Dwarka,IN,79.38,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
451,Wajir,KE,78.03,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
452,Spring Hill,US,78.1,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
453,Pakxan,LA,79.25,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
455,Harper,LR,80.31,broken clouds,4.375,-7.7169,Screensaver
462,Ranong,TH,79.81,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
465,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
468,Acapulco,MX,76.05,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
483,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
486,Bougouni,ML,86.86,light rain,11.417,-7.479,Non Stop
487,Mahajanga,MG,77.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
488,Buala,SB,80.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
493,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
494,Iracoubo,GF,76.98,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
495,San Policarpo,PH,82.54,overcast clouds,12.1791,125.5072,Agapita M. Nicart
500,Catarman,PH,82.0,overcast clouds,12.4989,124.6377,Pink City Pension Hotel
507,Yeppoon,AU,83.98,clear sky,-23.1333,150.7333,Villa Mar Colina
508,Jalu,LY,82.24,scattered clouds,29.0331,21.5482,صاحبة الفخامة
509,Suleja,NG,80.53,overcast clouds,9.1758,7.1808,Capy Motel
512,Saint-Paul,RE,77.11,broken clouds,-21.0096,55.2707,Boucan Canot
514,Moerai,PF,81.3,clear sky,-22.4333,-151.3333,Le Manotel
518,Sao Miguel Do Araguaia,BR,76.73,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
519,Sulangan,PH,81.0,moderate rain,11.1373,123.7228,Maia's Beach Resort
521,Sur,OM,81.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
525,Gambiran,ID,82.18,scattered clouds,-6.7988,111.4951,GUBUK KU
531,Progreso,MX,89.71,few clouds,21.2833,-89.6667,Playa Linda Hotel
533,Digras,IN,87.48,broken clouds,20.1167,77.7167,Swad Restaurant
539,Gizo,SB,81.82,moderate rain,-8.103,156.8419,Imagination Island
541,Banfora,BF,84.47,broken clouds,10.6333,-4.7667,Residences David Hebié
543,Lampang,TH,88.07,scattered clouds,18.3333,99.5,Mrs Luis Guest House
546,Pedernales,DO,78.44,broken clouds,18.0384,-71.744,Hotel Costa Marina
548,Ballina,AU,76.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
553,Onverwacht,SR,77.86,scattered clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
559,Kutum,SD,76.26,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
561,Hobyo,SO,80.13,few clouds,5.3505,48.5268,Iftin hotel hobyo
562,Lamar,US,76.64,clear sky,33.6668,-95.5836,Kings Inn Paris TX
564,Frutal,BR,75.25,broken clouds,-20.0247,-48.9406,Hotel Recanto Dos Ipês
565,Riberalta,BO,75.16,broken clouds,-10.9833,-66.1,Hotel Colonial
570,Pathein,MM,86.85,overcast clouds,16.7833,94.7333,Pathein Hotel
576,Finschhafen,PG,85.08,moderate rain,-6.6024,147.8681,Cossam Guest House
580,Beaufort,MY,79.23,light rain,5.3473,115.7455,The Gem Hotel Beaufort
584,Jimeta,NG,86.32,overcast clouds,9.2833,12.4667,Yola International Hotel
589,Taganak,PH,78.39,overcast clouds,6.0833,118.3,Taganak
590,Kiunga,PG,82.67,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
602,Qinzhou,CN,76.08,scattered clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
605,Bhigvan,IN,81.21,overcast clouds,18.3167,74.7667,Hotel Sagar
607,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
616,Ternate,ID,82.02,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
620,Buchanan,LR,79.05,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
621,Wamba,NG,77.95,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
626,Manggar,ID,83.98,overcast clouds,-2.8833,108.2667,Guest Hotel
628,Lompoc,US,77.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
629,Broken Hill,AU,76.69,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
640,Loanda,AO,75.2,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
645,Paciran,ID,82.06,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
646,Maumere,ID,85.06,overcast clouds,-8.6199,122.2111,Sylvia Hotel
667,Hervey Bay,AU,82.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
669,Warangal,IN,80.71,few clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
671,Gambela,ET,78.37,broken clouds,8.25,34.5833,Solomon Debebe Hotel
672,Arlit,NE,85.75,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
678,Port Augusta,AU,78.53,clear sky,-32.5,137.7667,Majestic Oasis Apartments
680,Biak,ID,81.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
683,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
